Image,Classes and Scores
sample_data (9).jpg,"panel (0.60): [1020.39386      6.5533447 1826.339      715.43005  ], panel (0.24): [2766.6572       6.1602173 3536.5037     690.4829   ], panel (0.22): [2829.3215 1155.0231 3537.821  2007.8269], panel (0.19): [302.8255     9.393585 923.855    732.2686  ], panel (0.17): [1943.2452 1178.3739 2770.0513 2038.9318], panel (0.16): [ 303.22076 1209.4354   946.4932  2079.9136 ], panel (0.15): [1010.96906 1193.6261  1855.8585  2054.789  ]"
sample_data (10).jpg,"panel (0.51): [ 372.21536  631.89844 1491.2594  1734.6989 ], panel (0.30): [2384.69    591.0436 3386.5146 1588.136 ]"
sample_data (11).jpg,"panel (0.54): [2732.1921 1222.9352 3517.9827 2018.2871], panel (0.41): [1075.8596      7.590088 1837.3698    753.56085 ], panel (0.28): [ 302.7059 1169.1328  988.8303 1972.0408], panel (0.28): [ 301.0983     10.860077 1004.7867    740.9773  ], panel (0.27): [2751.8547     20.457458 3524.6208    790.59155 ], panel (0.16): [1032.2894 1193.9755 1813.0865 1984.4595], panel (0.15): [1889.6859 1206.356  2657.417  2014.7036], panel (0.07): [1924.4916     15.915253 2673.2007    777.42645 ]"
sample_data (1).jpg,panel (0.19): [ 330.36768    20.116333 3481.782    2023.2246  ]
sample_data (12).jpg,"panel (0.59): [1023.07214     8.044647 1827.0432    719.15314 ], panel (0.22): [302.99274    9.578522 925.8005   736.66754 ], panel (0.20): [2829.17   1160.5526 3538.279  2016.408 ], panel (0.20): [2766.9814       6.4963074 3536.2156     694.66724  ], panel (0.18): [ 303.16528 1209.9016   946.3541  2081.4956 ], panel (0.15): [1010.8733 1197.7064 1854.0212 2056.3564], panel (0.15): [1944.4801 1182.2435 2763.1582 2042.3796], panel (0.05): [1950.0023       7.5224304 2683.901      429.36182  ]"
sample_data (13).jpg,"panel (0.55): [2735.3174 1227.3779 3518.9678 2021.0248], panel (0.40): [1080.6953     10.705811 1841.6228    758.9956  ], panel (0.34): [ 301.67175    10.270569 1016.251     744.3393  ], panel (0.30): [2753.5547     26.484375 3525.386     793.1239  ], panel (0.24): [ 302.5436  1171.4982   994.45026 1973.7866 ], panel (0.14): [1890.1298 1209.2593 2657.8494 2018.3351], panel (0.14): [1031.3103 1195.4921 1814.9353 1988.1896], panel (0.06): [1917.1395     14.455444 2680.4192    772.5956  ]"
sample_data (14).jpg,"panel (0.54): [2728.2527 1232.1241 3511.6926 2022.4473], panel (0.37): [1078.9934     12.010162 1838.2207    763.0098  ], panel (0.30): [2747.8704     32.142883 3518.568     798.53467 ], panel (0.30): [ 301.4653     12.198303 1013.51624   741.791   ], panel (0.21): [ 302.7226 1174.5161  991.4158 1974.1077], panel (0.16): [1030.4521 1197.9012 1810.35   1990.4172], panel (0.14): [1886.2863 1210.3701 2652.917  2020.8014], panel (0.07): [1912.7369     17.600098 2674.9006    778.2874  ]"
sample_data (15).jpg,panel (0.62): [1502.8066   500.52338 2765.3855  1730.5243 ]
sample_data (2).jpg,"panel (0.66): [2869.804   522.5589 3708.868  1421.5935], panel (0.39): [ 239.65439  205.80597 1942.4117  1586.332  ]"
sample_data (3).jpg,"panel (0.61): [2868.0278   519.38873 3710.4429  1421.9341 ], panel (0.45): [ 351.18588  307.75378 1848.3693  1448.5859 ]"
sample_data (4).jpg,panel (0.63): [1500.9181   501.35632 2764.4634  1725.559  ]
sample_data (5).jpg,"panel (0.54): [1021.77026      6.8534546 1826.9026     716.65173  ], panel (0.21): [2829.0598 1157.9019 3537.1467 2009.3497], panel (0.21): [302.7381     9.151703 924.56256  734.00555 ], panel (0.20): [2766.7483       6.5857544 3536.0906     692.38995  ], panel (0.15): [1015.09814 1196.1509  1855.1459  2054.925  ], panel (0.15): [ 303.8511 1209.5094  945.202  2080.9688], panel (0.14): [1943.0472 1177.7499 2770.605  2041.2803]"
sample_data (6).jpg,panel (0.60): [1501.4418   503.39337 2763.6272  1728.8665 ]
sample_data (7).jpg,panel (0.07): [ 333.5908     22.759277 3474.3472   2069.3325  ]
sample_data (8).jpg,"panel (0.73): [2868.3354  523.9673 3710.2449 1424.499 ], panel (0.41): [ 364.2195   321.26697 1845.2781  1449.6376 ]"

