panel_idx,text,confidence
1,44f . 4l n1t,0.0215
1,SVV,0.4265
1,PXBO,0.3755
1,8,0.243
2,889,0.4395
2,3888,0.3703
2,Cw,0.4462
2,Cwz,0.1329
2,At,0.515
2,@uoniss,0.2257
3,2wu,0.1098
3,04,0.3343
3,A2,0.0323
3,a,0.1232
3,SEy,0.218
3,PXR9,0.3039
3,5,0.4934
4,@,0.8538
4,0l,0.4706
4,Il,0.0486
4,05,0.2735
4,U_,0.4154
4,86,0.0442
4,RS9,0.2378
5,uecouaotcea,0.442
5,49x,0.4986
5,8888,0.5206
5,GO,0.5965
5,Quoni,0.5874
6,G@,0.1621
6,02,0.2083
6,0Ld,0.1992
6,0l,0.3133
6,43,0.3739
6,SV,0.7882
6,83,0.9158
6,3,1.0
6,Sd,0.249
6,PYBI,0.5255
7,@KOTA,0.2837
7,4444,0.4232
7,8,0.8819
7,5,0.1437
7,7,0.9735
7,HLEN,0.0641
7,SETI,0.3917
7,10MI,0.2029
7,CAAL'ETTAI,0.0323
7,"Av Aehr ""un'",0.0636
7,La,0.8469
8,P,0.5436
8,49,0.0774
