panel_idx,text,confidence
1,Ali)Aw,0.2443
1,0ls,0.1551
1,XX,0.1578
1,PBI,0.4248
2,(2,0.8438
2,0ll,0.1971
2,[2,0.0904
2,n,0.4217
2,S,0.8375
2,BIR9,0.1999
3,0),0.7476
3,a2,0.0814
3,0,0.6094
3,PxBg,0.1549
4,948,0.852
4,8188,0.4311
4,C,0.926
4,C2,0.4404
4,AT,0.9439
4,Quoas,0.1728
5,@KOGW,0.4129
5,1,0.0363
5,"""(nIND",0.0682
5,0Y,0.0209
5,SITI,0.1564
5,Tlm,0.0386
5,0171,0.5079
5,ril'ETI7 ,0.0437
5,Iehor Vum,0.1269
6,"""URECORROLLER",0.1229
6,8888,0.9693
6,8888,0.9883
6,II,0.045
6,cz,0.2075
6,At:,0.2978
6,Quton,0.3474
7,60,0.0464
7,062,0.2726
7,0lj,0.5629
7,42,0.2145
7,A3,0.7572
7,SV,0.6208
7,633,0.3662
7,PXBI,0.8917
